Player Name,Player ID,Date,Team,OPP,W,L,ERA,G,GS,CG,SHO,SV,SVO,IP,H,R,ER,HR,HB,BB,IBB,SO,NP-S,AVG,WHIP,GO/AO
noah davis,663562,Apr 16,COL,@ SEA,0,0,0.00,1,1,0,0,0,0,5.0,3,0,0,0,0,3,0,5,95-60,.188,1.20,1.00
noah davis,663562,Apr 21,COL,@ PHI,0,0,0.93,1,1,0,0,0,0,4.2,6,2,1,0,1,0,0,5,92-63,.243,1.24,1.25
noah davis,663562,Apr 29,COL,vs AZ,0,1,6.17,1,1,0,0,0,0,2.0,7,7,7,1,0,2,0,2,54-32,.327,1.80,1.33
noah davis,663562,Jun 20,COL,@ CIN,0,1,7.47,1,1,0,0,0,0,4.0,5,5,5,2,0,4,0,2,81-43,.323,1.91,1.00
noah davis,663562,Jun 24,COL,vs LAA,0,0,10.61,1,0,0,0,0,0,3.0,11,9,9,1,0,1,0,2,73-49,.376,2.25,1.06
noah davis,663562,Sep 17,COL,vs SF,0,0,9.58,1,0,0,0,0,0,2.0,0,0,0,0,0,0,0,2,27-19,.352,2.03,0.95
noah davis,663562,Sep 22,COL,@ CHC,0,1,8.77,1,1,0,0,0,0,5.0,4,3,3,1,1,3,0,4,93-56,.330,1.91,0.96
hoby milner,571948,Apr 2,MIL,@ CHC,0,0,0.00,1,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,10-5,.000,0.00,2.00
hoby milner,571948,Apr 4,MIL,vs NYM,0,0,0.00,1,0,0,0,0,0,1.0,1,0,0,0,0,0,0,0,14-9,.167,0.60,4.00
hoby milner,571948,Apr 5,MIL,vs NYM,0,0,0.00,1,0,0,0,0,0,1.2,0,0,0,0,0,0,0,1,14-11,.100,0.30,3.00
hoby milner,571948,Apr 7,MIL,vs STL,0,0,0.00,1,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,7-4,.091,0.27,3.50
hoby milner,571948,Apr 9,MIL,vs STL,0,0,0.00,1,0,0,0,0,0,0.1,0,0,0,0,0,0,0,1,5-3,.083,0.25,3.50
hoby milner,571948,Apr 12,MIL,@ AZ,0,0,0.00,1,0,0,0,0,0,1.0,1,0,0,0,0,0,0,1,15-9,.125,0.40,2.67
hoby milner,571948,Apr 15,MIL,@ SD,0,0,4.50,1,0,0,0,0,0,1.0,2,3,3,1,0,1,0,0,27-16,.200,0.83,1.80
hoby milner,571948,Apr 17,MIL,@ SEA,0,0,3.86,1,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,20-12,.174,0.71,2.20
hoby milner,571948,Apr 18,MIL,@ SEA,0,0,3.24,1,0,0,0,0,0,1.1,0,0,0,0,0,1,0,1,16-8,.154,0.72,2.00
hoby milner,571948,Apr 21,MIL,vs BOS,0,0,2.89,1,0,0,0,0,1,1.0,2,0,0,0,0,0,0,0,18-13,.194,0.86,1.63
hoby milner,571948,Apr 22,MIL,vs BOS,0,0,2.70,1,0,0,0,0,0,0.2,0,0,0,0,0,0,0,2,10-6,.182,0.80,1.63
hoby milner,571948,Apr 23,MIL,vs BOS,0,0,2.53,1,0,0,0,0,0,0.2,0,0,0,0,1,0,0,0,13-6,.176,0.75,1.75
hoby milner,571948,Apr 26,MIL,vs DET,0,0,2.38,1,0,0,0,0,0,0.2,1,0,0,0,0,0,0,0,12-9,.189,0.79,1.67
hoby milner,571948,Apr 30,MIL,vs LAA,0,0,3.09,1,0,0,0,0,0,0.1,2,1,1,0,0,1,0,0,19-10,.225,1.03,1.50
hoby milner,571948,May 3,MIL,@ COL,0,0,4.50,1,0,0,0,0,0,0.1,2,2,2,1,0,0,0,0,12-6,.256,1.17,1.60
hoby milner,571948,May 5,MIL,@ SF,0,0,5.11,1,0,0,0,0,0,0.1,1,1,1,1,0,1,0,0,17-8,.267,1.30,1.70
hoby milner,571948,May 7,MIL,@ SF,0,0,4.85,1,0,0,0,0,0,0.2,2,0,0,0,0,0,0,2,18-10,.286,1.38,1.70
hoby milner,571948,May 10,MIL,vs LAD,0,0,4.50,1,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1,10-6,.269,1.29,1.42
hoby milner,571948,May 13,MIL,vs KC,0,0,3.94,1,0,0,0,0,0,2.0,1,0,0,0,0,0,0,1,27-20,.254,1.19,1.13
hoby milner,571948,May 16,MIL,@ STL,0,0,4.15,1,0,0,0,0,0,1.1,2,1,1,0,0,0,0,3,22-16,.262,1.21,1.19
hoby milner,571948,May 22,MIL,vs HOU,0,0,4.50,1,0,0,0,0,0,0.2,2,1,1,1,0,0,0,0,9-6,.279,1.28,1.25
hoby milner,571948,May 24,MIL,vs HOU,0,0,4.26,1,0,0,0,0,0,1.0,1,0,0,0,0,0,0,1,18-11,.278,1.26,1.24
hoby milner,571948,May 25,MIL,vs SF,0,0,4.12,1,0,0,0,0,0,0.2,1,0,0,0,0,0,0,1,9-8,.280,1.27,1.17
hoby milner,571948,May 30,MIL,@ TOR,0,0,3.92,1,0,0,0,0,0,1.0,1,0,0,0,0,0,0,1,13-8,.282,1.26,1.22
hoby milner,571948,Jun 5,MIL,@ CIN,0,0,3.80,1,0,0,0,0,0,0.2,0,0,0,0,0,0,0,1,7-4,.275,1.22,1.16
hoby milner,571948,Jun 9,MIL,vs OAK,0,0,3.47,1,0,0,0,0,0,2.0,0,0,0,0,0,1,0,2,32-20,.256,1.16,1.25
